"","AGE","GENDER","DOMAIN","PhD","YEARSEXP","UNIVERSITY","UOC_POSITION","USERWIKI","PU1","PU2","PU3","PEU1","PEU2","PEU3","ENJ1","ENJ2","Qu1","Qu2","Qu3","Qu4","Qu5","Vis1","Vis2","Vis3","Im1","Im2","Im3","SA1","SA2","SA3","Use1","Use2","Use3","Use4","Use5","Pf1","Pf2","Pf3","JR1","JR2","BI1","BI2","Inc1","Inc2","Inc3","Inc4","Exp1","Exp2","Exp3","Exp4","Exp5"
"1",40,"0","Ciencias","1",14,"1","Asociado","0","4","4","3","5","5","3","4","4","3","3","2","2","3","3","3","1","2","4","2","4","4","4","3","1","1","2","4","1","1","3","4","1","2","3","5","5","5","5","4","4","4","1","2"
"2",42,"0","Derecho y Politica","1",18,"1","Asociado","0","2","3","3","4","4","3","3","4","4","4","3","3","2","3","3","1","1","2","1","4","4","4","2","2","1","1","2","1","1","1","4","3","2","2","4","4","3","4","2","2","4","2","4"
"3",37,"0","Ingenieria y Arquitectura","1",13,"1","Asistente","0","2","2","2","4","4","3","3","3","2","2","2","5","3","2","3","2","2","4","3","4","2","4","1","1","1","1","1","3","3","3","4","3","1","1","5","3","5","5","2","2","2","1","3"
"4",40,"0","Ingenieria y Arquitectura","0",13,"1","Asistente","0","3","3","4","3","3","3","4","3","3","4","3","3","3","3","4","3","2","2","3","5","5","5","3","3","3","3","3","4","4","4","5","4","3","3","3","4","4","3","4","4","3","3","4"
"5",47,"0","Ingenieria y Arquitectura","0",17,"1","Asistente","0","2","2","3","5","4","3","3","3","3","3","3","4","4","3","4","4","3","5","3","5","5","5","2","1","3","2","4","4","3","2","4","1","4","4","5","3","2","4","4","3","4","1","4"
"6",54,"0","Artes y Humanidades","1",14,"1","Asociado","0","4","4","5","4","5","4","5","5","4","4","2","5","3","4","3","4","3","3","3","5","5","4","1","1","4","4","5","1","2","3","3","2","4","3","5","5","4","2","5","5","5","1","1"
"7",40,"0","Ingenieria y Arquitectura","1",13,"1","Asociado","1","3","3","4","5","4","4","5","4","3","4","3","3","2","3","4","2","2","4","3","5","4","5","2","3","4","3","4","1","2","4","4","3","3","4","3","3","2","4","4","4","4","1","2"
"8",44,"0","Ingenieria y Arquitectura","1",15,"1","Asociado","1","4","4","4","3","4","4","5","5","4","5","4","2","4","4","3","4","3","3","3","5","5","4","3","2","4","4","4","4","5","5","4","3","5","5","4","4","4","4","4","4","5","4","4"
"9",40,"0","Ingenieria y Arquitectura","1",18,"1","Asociado","1","4","4","5","5","4","4","4","5","4","4","5","2","4","4","4","2","3","5","5","5","4","4","1","1","4","4","5","4","5","5","4","3","4","4","4","3","3","4","5","4","5","1","5"
"10",39,"0","Ingenieria y Arquitectura","0",12,"1","Profesor","1","5","4","4","4","4","4","5","4","4","4","4","2","5","4","4","3","3","4","3","5","5","5","3","2","4","4","4","5","5","4","3","2","4","4","5","5","4","5","4","5","5","3","3"
"11",38,"0","Artes y Humanidades","0",10,"1","Profesor","0","3","2","3","5","4","3","4","4","4","3","2","4","4","4","3","1","2","2","3","4","4","4","2","1","1","1","4","1","2","1","5","4","3","3","5","4","4","3","3","4","4","1","3"
